Field API Name,Label,Type,Value
"PersonMailingLongitude","Mailing Longitude","double (3, 15)",""
"PersonMailingPostalCode","Mailing Zip/Postal Code","string (20)",""
"PersonMailingState","Mailing State/Province","string (80)",""
"PersonMailingStreet","Mailing Street","textarea (255)",""
"PersonMobilePhone","Mobile","phone (40)",""
"PersonOtherAddress","Other Address","address",""
"PersonOtherCity","Other City","string (40)",""
"PersonOtherCountry","Other Country","string (80)",""
"PersonOtherGeocodeAccuracy","Other Geocode Accuracy","picklist (40), restricted",""
"PersonOtherLatitude","Other Latitude","double (3, 15)",""
"PersonOtherLongitude","Other Longitude","double (3, 15)",""
"PersonOtherPhone","Other Phone","phone (40)",""
"PersonOtherPostalCode","Other Zip/Postal Code","string (20)",""
"PersonOtherState","Other State/Province","string (80)",""
"PersonOtherStreet","Other Street","textarea (255)",""
"PersonPronouns","Pronouns","picklist (255)",""
"PersonTitle","Title","string (80)",""
"Phone","Account Phone","phone (40)","(212) 555-5555"
"PhotoUrl","Photo URL","url (255)","/services/images/photo/001ao00001wn96hAAA"
"Rating","Account Rating","picklist (255)",""
"RecordTypeId","Record Type ID","[RecordType]",""
"Salutation","Salutation","picklist (40)",""
"ShippingAddress","Shipping Address","address","[object Object]"
"ShippingCity","Shipping City","string (40)","New York"
"ShippingCountry","Shipping Country","string (80)","USA"
"ShippingGeocodeAccuracy","Shipping Geocode Accuracy","picklist (40), restricted",""
"ShippingLatitude","Shipping Latitude","double (3, 15)",""
"ShippingLongitude","Shipping Longitude","double (3, 15)",""
"ShippingPostalCode","Shipping Zip/Postal Code","string (20)","31349"
"ShippingState","Shipping State/Province","string (80)","NY"
"ShippingStreet","Shipping Street","textarea (255)","10 Main Rd."
"Sic","SIC Code","string (20)",""
"SicDesc","SIC Description","string (80)",""
"Site","Account Site","string (80)",""
"SourceSystemIdentifier","Source System ID","string (85)",""
"SystemModstamp","System Modstamp","datetime, required","2025-11-04T00:40:24.000+0000"
"TickerSymbol","Ticker Symbol","string (20)",""
"Tier","Einstein Account Tier","string (2)",""
"Type","Account Type","picklist (255)","Prospect"
"Website","Website","url (255)",""
